topology,timestep,method,reward,feat_PR,chosen_mlu,chosen_disturbance,pathopt_mlu,dqn_used,gnn_used,lpd_used,criticality_backend,heuristic_used,active_od_count,k_cap,initial_selected_k,final_selected_k,selected_k,k_escalation_used,k_escalation_steps,k_cap_hit,full_od_fallback_used,fallback_reason,selected_od_count,noncritical_count,noncritical_background_mode,ecmp_background_used,previous_background_used,full_od_lp_used,selected_od_lp_used,stage2_used,disturbance_finalization_used,random_forest_gate_used,sticky_gate_used,solver_backend,dqn_action,action_name,action,db_budget,decision_ms,lp_status
abilene,2016,gnn_lpd_dqn_selective_db_lp,-3.8450320318254834,0.9910353758203698,0.040089375409548,0.1503986798887093,0.0397299892254053,1,1,1,gnn_lpd,0,131,131,30,30,30,0,0,0,0,none,30,101,ecmp,1,0,0,1,0,0,0,0,selected_od_db_budgeted_lp,OPTIMIZE_K30_DB_0.01,OPTIMIZE_K30_DB_0.01,1,0.01,7.357917005720083,Optimal
abilene,2017,gnn_lpd_dqn_selective_db_lp,8.59392709184194,0.9999999999999981,0.039836828891308074,0.0033046789052545537,0.039836828891308,1,1,1,gnn_lpd,0,128,128,30,30,30,0,0,0,0,none,30,98,ecmp,1,0,0,1,0,0,0,0,selected_od_db_budgeted_lp,OPTIMIZE_K30_DB_0.01,OPTIMIZE_K30_DB_0.01,1,0.01,6.932541000423953,Optimal
abilene,2018,gnn_lpd_dqn_selective_db_lp,-83.65855183270986,0.8110482360654396,0.05710532460869238,0.01,0.0463151727938243,1,1,1,gnn_lpd,0,130,130,30,120,120,1,2,0,0,solver_failed,120,10,ecmp,1,0,0,1,0,0,0,0,selected_od_db_budgeted_lp,OPTIMIZE_K30_DB_0.01,OPTIMIZE_K30_DB_0.01,1,0.01,59.02254199463641,Optimal
abilene,2019,gnn_lpd_dqn_selective_db_lp,5.934981427231607,0.9999999999999984,0.039979697434952666,0.008559513558898208,0.0399796974349526,1,1,1,gnn_lpd,0,130,130,40,40,40,0,0,0,0,none,40,90,ecmp,1,0,0,1,0,0,0,0,selected_od_db_budgeted_lp,OPTIMIZE_K40_DB_0.03,OPTIMIZE_K40_DB_0.03,4,0.03,8.23316600144608,Optimal
abilene,2020,gnn_lpd_dqn_selective_db_lp,6.55840380890008,0.9999999999999984,0.04099022118720196,0.004502314703227181,0.0409902211872019,1,1,1,gnn_lpd,0,131,131,30,30,30,0,0,0,0,none,30,101,ecmp,1,0,0,1,0,0,0,0,selected_od_db_budgeted_lp,OPTIMIZE_K30_DB_0.03,OPTIMIZE_K30_DB_0.03,2,0.03,6.526750003104098,Optimal
abilene,2021,gnn_lpd_dqn_selective_db_lp,6.412852062925695,0.9999999999999994,0.04082648362063112,0.00935676456917438,0.0408264836206311,1,1,1,gnn_lpd,0,131,131,30,30,30,0,0,0,0,none,30,101,ecmp,1,0,0,1,0,0,0,0,selected_od_db_budgeted_lp,OPTIMIZE_K30_DB_0.01,OPTIMIZE_K30_DB_0.01,1,0.01,6.444999999075662,Optimal
abilene,2022,gnn_lpd_dqn_selective_db_lp,-190.0008973365666,0.6319169120052051,0.08854027235632625,0.010000000000000004,0.0559500954955095,1,1,1,gnn_lpd,0,130,130,30,120,120,1,2,0,0,solver_failed,120,10,ecmp,1,0,0,1,0,0,0,0,selected_od_db_budgeted_lp,OPTIMIZE_K30_DB_0.01,OPTIMIZE_K30_DB_0.01,1,0.01,18.942541995784268,Optimal
abilene,2023,gnn_lpd_dqn_selective_db_lp,-67.60981032137147,0.8391780351354022,0.061280900045985624,0.029999999999999995,0.0514255852919192,1,1,1,gnn_lpd,0,129,129,40,120,120,1,2,0,0,selected_k_pr_failed_no_full_override,120,9,ecmp,1,0,0,1,0,0,0,0,selected_od_db_budgeted_lp,OPTIMIZE_K40_DB_0.03,OPTIMIZE_K40_DB_0.03,4,0.03,34.60508299758658,Optimal
abilene,2024,gnn_lpd_dqn_selective_db_lp,-282.7611883576392,0.49028293074929813,0.2308403220434374,0.029999999999999975,0.1131770696265683,1,1,1,gnn_lpd,0,132,132,30,120,120,1,2,0,0,solver_failed,120,12,ecmp,1,0,0,1,0,0,0,0,selected_od_db_budgeted_lp,OPTIMIZE_K30_DB_0.03,OPTIMIZE_K30_DB_0.03,2,0.03,137.51966699783225,Optimal
abilene,2025,gnn_lpd_dqn_selective_db_lp,-34.07246999391319,0.8986785707973722,0.06405755509437727,0.00999999999999999,0.0575671520609889,1,1,1,gnn_lpd,0,132,132,30,120,120,1,2,0,0,solver_failed,120,12,ecmp,1,0,0,1,0,0,0,0,selected_od_db_budgeted_lp,OPTIMIZE_K30_DB_0.01,OPTIMIZE_K30_DB_0.01,1,0.01,18.515625000873115,Optimal
