topology,timestep,method,reward,feat_PR,chosen_mlu,chosen_disturbance,pathopt_mlu,dqn_used,gnn_used,lpd_used,criticality_backend,heuristic_used,active_od_count,k_cap,initial_selected_k,final_selected_k,selected_k,k_escalation_used,k_escalation_steps,k_cap_hit,full_od_fallback_used,fallback_reason,selected_od_count,noncritical_count,noncritical_background_mode,ecmp_background_used,previous_background_used,full_od_lp_used,selected_od_lp_used,stage2_used,disturbance_finalization_used,random_forest_gate_used,sticky_gate_used,solver_backend,dqn_action,action,db_budget,decision_ms,lp_status
abilene,2016,gnn_lpd_dqn_selective_db_lp,-3.846094572821401,0.9910353758203698,0.040089375409548,0.1503986798887093,0.0397299892254053,1,1,1,gnn_lpd,0,131,32,30,30,30,0,0,0,0,none,30,101,ecmp,1,0,0,1,0,0,0,0,selected_od_db_budgeted_lp,OPTIMIZE_K30_DB_0.01,1,0.01,8.420458001637598,Optimal
abilene,2017,gnn_lpd_dqn_selective_db_lp,8.593601257841689,0.9999999999999981,0.039836828891308074,0.0033046789052545537,0.039836828891308,1,1,1,gnn_lpd,0,128,32,30,30,30,0,0,0,0,none,30,98,ecmp,1,0,0,1,0,0,0,0,selected_od_db_budgeted_lp,OPTIMIZE_K30_DB_0.01,1,0.01,7.2583750006742775,Optimal
abilene,2018,gnn_lpd_dqn_selective_db_lp,-322.0934196979626,0.4465024738402988,0.1037288156445689,0.18070754472830464,0.0463151727938243,1,1,1,gnn_lpd,0,130,32,30,30,30,0,0,0,0,solver_failed,30,100,ecmp,1,0,0,1,0,0,0,0,selected_od_db_budgeted_lp,OPTIMIZE_K30_DB_0.01,1,0.01,1.0751670015451964,BudgetInfeasible
abilene,2019,gnn_lpd_dqn_selective_db_lp,-114.90373399046389,0.7570076336537191,0.05281280618266614,0.029999999999999995,0.0399796974349526,1,1,1,gnn_lpd,0,130,32,32,32,32,0,0,1,0,selected_k_pr_failed_no_full_override,32,98,ecmp,1,0,0,1,0,0,0,0,selected_od_db_budgeted_lp,OPTIMIZE_K40_DB_0.03,4,0.03,7.8437499978463165,Optimal
abilene,2020,gnn_lpd_dqn_selective_db_lp,-26.169731708708234,0.9128281912617265,0.04490463986497232,0.029999999999999992,0.0409902211872019,1,1,1,gnn_lpd,0,131,32,30,30,30,0,0,0,0,selected_k_pr_failed_no_full_override,30,101,ecmp,1,0,0,1,0,0,0,0,selected_od_db_budgeted_lp,OPTIMIZE_K30_DB_0.03,2,0.03,6.746957998984726,Optimal
abilene,2021,gnn_lpd_dqn_selective_db_lp,-13.760058218003213,0.9351384763093936,0.04365822245038661,0.009999999999999993,0.0408264836206311,1,1,1,gnn_lpd,0,131,32,30,30,30,0,0,0,0,selected_k_pr_failed_no_full_override,30,101,ecmp,1,0,0,1,0,0,0,0,selected_od_db_budgeted_lp,OPTIMIZE_K30_DB_0.01,1,0.01,6.890332999319071,Optimal
abilene,2022,gnn_lpd_dqn_selective_db_lp,-173.38507550418666,0.658922293896365,0.08491152297285802,0.010000000000000007,0.0559500954955095,1,1,1,gnn_lpd,0,130,32,30,30,30,0,0,0,0,selected_k_pr_failed_no_full_override,30,100,ecmp,1,0,0,1,0,0,0,0,selected_od_db_budgeted_lp,OPTIMIZE_K30_DB_0.01,1,0.01,6.942582996998681,Optimal
abilene,2023,gnn_lpd_dqn_selective_db_lp,-26.41257703355856,0.912392698073425,0.056363433640479126,0.029999999999999992,0.0514255852919192,1,1,1,gnn_lpd,0,129,32,32,32,32,0,0,1,0,selected_k_pr_failed_no_full_override,32,97,ecmp,1,0,0,1,0,0,0,0,selected_od_db_budgeted_lp,OPTIMIZE_K40_DB_0.03,4,0.03,7.351125001150649,Optimal
abilene,2024,gnn_lpd_dqn_selective_db_lp,-147.59486902558078,0.7016337774201015,0.16130504726086442,0.029999999999999995,0.1131770696265683,1,1,1,gnn_lpd,0,132,33,30,30,30,0,0,0,0,selected_k_pr_failed_no_full_override,30,102,ecmp,1,0,0,1,0,0,0,0,selected_od_db_budgeted_lp,OPTIMIZE_K30_DB_0.03,2,0.03,7.095958000718383,Optimal
abilene,2025,gnn_lpd_dqn_selective_db_lp,-14.158756455665833,0.9344200127130095,0.06160736208318949,0.009999999999999998,0.0575671520609889,1,1,1,gnn_lpd,0,132,33,30,30,30,0,0,0,0,selected_k_pr_failed_no_full_override,30,102,ecmp,1,0,0,1,0,0,0,0,selected_od_db_budgeted_lp,OPTIMIZE_K30_DB_0.01,1,0.01,6.9524999998975545,Optimal
